# language-input-glosspack-v1
# language=en
# source=CC-CEDICT (MDBG)
# source_sha256=1ACC073BCFE431C6002901ED8D19A16E32C4AD8D54F85BD746C4A4F50A2C589D
# license=CC-BY-SA-4.0 https://creativecommons.org/licenses/by-sa/4.0/
一寸光阴一寸金，寸金难买寸光阴	(lit.) an interval of time is worth an ounce of gold, money cannot...
一寸光陰一寸金	(saying) time is precious
一寸光陰一寸金，寸金難買寸光陰	(lit.) an interval of time is worth an ounce of gold, money cannot...
一对	couple; pair
一对一	one-to-one; one-on-one
一对一斗牛	one-on-one basketball game
一对儿	a pair; a couple
一對	couple; pair
一對一	one-to-one; one-on-one
一對一鬥牛	one-on-one basketball game
一對兒	a pair; a couple
一小撮	handful (of)
一小部分	a small part; a small section
一小阵儿	very brief period of time
一小陣兒	very brief period of time
一尘不染	(idiom) untainted by even a speck of dust; spotlessly clean
一层	one layer; one level
一展身手	to showcase one's talents; to display one's prowess
一層	one layer; one level
一山不容二虎	lit. the mountain can't have two tigers (idiom)
一己	oneself
